,Unnamed: 0,Abstract,Authors,Journal,Link,Title,Year,LastAuthor,FirstAuthor,Lab,Author,Count,Team
10,312,"
    

    
      Correct localization of the centromeric histone variant CenH3/CENP-A/Cse4 is an important part of faithful chromosome segregation. Mislocalization of CenH3 could affect chromosome segregation, DNA replication and transcription. CENP-A is often overexpressed and mislocalized in cancer genomes, but the underlying mechanisms are not understood. One major regulator of Cse4 deposition is Psh1, an E3 ubiquitin ligase that controls levels of Cse4 to prevent deposition into non-centromeric regions. We present evidence that Chromatin assembly factor-1 (CAF-1), an evolutionarily conserved histone H3/H4 chaperone with subunits shown previously to interact with CenH3 in flies and human cells, regulates Cse4 deposition in budding yeast. yCAF-1 interacts with Cse4 and can assemble Cse4 nucleosomes in vitro. Loss of yCAF-1 dramatically reduces the amount of Cse4 deposited into chromatin genome-wide when Cse4 is overexpressed. The incorporation of Cse4 genome-wide may have multifactorial effects on growth and gene expression. Loss of yCAF-1 can rescue growth defects and some changes in gene expression associated with Cse4 deposition that occur in the absence of Psh1-mediated proteolysis. Incorporation of Cse4 into promoter nucleosomes at transcriptionally active genes depends on yCAF-1. Overall our findings suggest CAF-1 can act as a CenH3 chaperone, regulating levels and incorporation of CenH3 in chromatin.
    

    
  ","Hewawasam GS, Dhatchinamoorthy K, Mattingly M, Seidel CW, Gerton JL, ",Nucleic acids research,https://www.ncbi.nlm.nih.gov/pubmed/29522205,Chromatin Assembly factor-1 (CAF-1) Chaperone Regulates Cse4 Deposition Into Chromatin in Budding Yeast,2018,Gerton JL,Hewawasam GS,Gerton,Seidel CW,15,AI and Genomics
11,330,"
    

    
      The epidermis is essential for animal survival, providing both a protective barrier and cellular sensor to external environments. The generally conserved embryonic origin of the epidermis, but the broad morphological and functional diversity of this organ across animals is puzzling. We define the transcriptional regulators underlying epidermal lineage differentiation in the planarian Schmidtea mediterranea, an invertebrate organism that, unlike fruitflies and nematodes, continuously replaces its epidermal cells. We find that Smed-p53, Sox and Pax transcription factors are essential regulators of epidermal homeostasis, and act cooperatively to regulate genes associated with early epidermal precursor cell differentiation, including a tandemly arrayed novel gene family (prog) of secreted proteins. Additionally, we report on the discovery of distinct and previously undescribed secreted organelles whose production is dependent on the transcriptional activity of soxP-3, and which we term Hyman vesicles.
    

    
  ","Cheng LC, Tu KC, Seidel CW, Robb SMC, Guo F, Sánchez Alvarado A, ",Developmental biology,https://www.ncbi.nlm.nih.gov/pubmed/29100657,"Cellular, Ultrastructural and Molecular Analyses of Epidermal Cell Development in the Planarian Schmidtea Mediterranea",2018,Sánchez Alvarado A,Cheng LC,Sánchez,Seidel CW,15,AI and Genomics
12,408,"
    

    
      FACT (facilitates chromatin transcription) is an evolutionarily conserved histone chaperone that was initially identified as an activity capable of promoting RNA polymerase II (Pol II) transcription through nucleosomes in vitro. In this report, we describe a global analysis of FACT function in Pol II transcription in Drosophila. We present evidence that loss of FACT has a dramatic impact on Pol II elongation-coupled processes including histone H3 lysine 4 (H3K4) and H3K36 methylation, consistent with a role for FACT in coordinating histone modification and chromatin architecture during Pol II transcription. Importantly, we identify a role for FACT in the maintenance of promoter-proximal Pol II pausing, a key step in transcription activation in higher eukaryotes. These findings bring to light a broader role for FACT in the regulation of Pol II transcription.
    

    
  ","Tettey TT, Gao X, Shao W, Li H, Story BA, Chitsazan AD, Glaser RL, Goode ZH, Seidel CW, Conaway RC, Zeitlinger J, Blanchette M, Conaway JW, ",Cell reports,https://www.ncbi.nlm.nih.gov/pubmed/31242411,A Role for FACT in RNA Polymerase II Promoter-Proximal Pausing,2019,Conaway JW,Tettey TT,Conaway,Seidel CW,15,AI and Genomics
13,428,"
    

    
      The Gcn5 acetyltransferase functions in multiple acetyltransferase complexes in yeast and metazoans. Yeast Gcn5 is part of the large SAGA (Spt-Ada-Gcn5 acetyltransferase) complex and a smaller ADA acetyltransferase complex. In flies and mammals, Gcn5 (and its homolog pCAF) is part of various versions of the SAGA complex and another large acetyltransferase complex, ATAC (Ada2A containing acetyltransferase complex). However, a complex analogous to the small ADA complex in yeast has never been described in metazoans. Previous studies in Drosophila hinted at the existence of a small complex which contains Ada2b, a partner of Gcn5 in the SAGA complex. Here we have purified and characterized the composition of this complex and show that it is composed of Gcn5, Ada2b, Ada3 and Sgf29. Hence, we have named it the metazoan 'ADA complex'. We demonstrate that the fly ADA complex has histone acetylation activity on histones and nucleosome substrates. Moreover, ChIP-Sequencing experiments identified Ada2b peaks that overlap with another SAGA subunit, Spt3, as well as Ada2b peaks that do not overlap with Spt3 suggesting that the ADA complex binds chromosomal sites independent of the larger SAGA complex.
    

    
  ","Soffers JHM, Li X, Saraf A, Seidel CW, Florens L, Washburn MP, Abmayr SM, Workman JL, ",Nucleic acids research,https://www.ncbi.nlm.nih.gov/pubmed/30715476,Characterization of a Metazoan ADA Acetyltransferase Complex,2019,Workman JL,Soffers JHM,Workman,Seidel CW,15,AI and Genomics
14,503,"
    

    
      Planarian neoblasts are pluripotent, adult somatic stem cells and lineage-primed progenitors that are required for the production and maintenance of all differentiated cell types, including the germline. Neoblasts, originally defined as undifferentiated cells residing in the adult parenchyma, are frequently compared to embryonic stem cells yet their developmental origin remains obscure. We investigated the provenance of neoblasts during ","Davies EL, Lei K, Seidel CW, Kroesen AE, McKinney SA,A, Guo L, Robb SM, Ross EJ, Gotting K, Alvarado AS, ",eLife,https://www.ncbi.nlm.nih.gov/pubmed/28072387,Embryonic Origin of Adult Stem Cells Required for Tissue Homeostasis and Regeneration,2017,Sánchez Alvarado A,Davies EL,Sánchez,Seidel CW,15,AI and Genomics
15,1,"
    

    
      Molybdenum cofactor (Moco) biosynthesis is linked to c-Jun N-terminal kinase (JNK) signaling in Drosophila through MoaE, a molybdopterin (MPT) synthase subunit that is also a component of the Ada Two A containing (ATAC) acetyltransferase complex. Here, we show that human MPT synthase and ATAC inhibited PKR, a double-stranded RNA-dependent protein kinase, to facilitate translation initiation of iron-responsive mRNA. MPT synthase and ATAC directly interacted with PKR and suppressed latent autophosphorylation of PKR and its downstream phosphorylation of JNK and eukaryotic initiation factor 2α (eIF2α). The suppression of eIF2α phosphorylation via MPT synthase and ATAC prevented sequestration of the guanine nucleotide exchange factor eIF2B, which recycles eIF2-GDP to eIF2-GTP, resulting in the promotion of translation initiation. Indeed, translation of the iron storage protein, ferritin, was reduced in the absence of MPT synthase or ATAC subunits. Thus, MPT synthase and ATAC regulate latent PKR signaling and link transcription and translation initiation. 
    

    
  ","Suganuma T, Swanson SK, Florens L, Washburn MP, Workman JL, ",Journal of molecular cell biology,http://www.ncbi.nlm.nih.gov/pubmed/26705305,Moco Biosynthesis and the ATAC Acetyltransferase Engage Translation Initiation by Inhibiting Latent PKR Activity,2015,Workman JL,Suganuma T,Workman,Swanson SK,17,Proteomics
16,147,"
    

    
      KAT6 histone acetyltransferases (HATs) are highly conserved in eukaryotes and are involved in cell cycle regulation. However, information regarding their roles in regulating cell cycle progression is limited. Here, we report the identification of subunits of the Drosophila Enok complex and demonstrate that all subunits are important for its HAT activity. We further report a novel interaction between the Enok complex and the Elg1 proliferating cell nuclear antigen (PCNA)-unloader complex. Depletion of Enok in S2 cells resulted in a G1/S cell cycle block, and this block can be partially relieved by depleting Elg1. Furthermore, depletion of Enok reduced the chromatin-bound levels of PCNA in both S2 cells and early embryos, suggesting that the Enok complex may interact with the Elg1 complex and down-regulate its PCNA-unloading function to promote the G1/S transition. Supporting this hypothesis, depletion of Enok also partially rescued the endoreplication defects in Elg1-depleted nurse cells. Taken together, our study provides novel insights into the roles of KAT6 HATs in cell cycle regulation through modulating PCNA levels on chromatin.
    

    
  ","Huang F, Saraf A, Florens L, Kusch T, Swanson SK, Szerszen LT, Li G, Dutta A, Washburn MP, Abmayr SM, Workman JL, ",Genes & development,http://www.ncbi.nlm.nih.gov/pubmed/27198229,The Enok Acetyltransferase Complex Interacts With Elg1 and Negatively Regulates PCNA Unloading to Promote the G1/S Transition,2016,Workman JL,Huang F,Workman,Swanson SK,17,Proteomics
17,296,"
    

    
      Metabolic disorder has been suggested to underlie Alzheimer's disease (AD). However, the decisive molecular linkages remain unclear. We discovered that human Molybdopterin Synthase Associating Complex, MPTAC, promotes sulfur amino acid catabolism to prevent oxidative damage from excess sulfur amino acids, which, in turn, advances fatty acid oxidation and acetyl coenzyme A (acetyl-CoA) synthesis. The association of MPTAC with Protein arginine (R) Methyltransferase 5 (PRMT5) complex and small nuclear ribonucleoprotein (SNRP) splicing factors enables SNRPs to sense metabolic states through their methylation. This promotes the splicing fidelity of amyloid precursor protein (APP) pre-mRNA and proper APP fragmentation, abnormalities of which have been observed in the platelets of AD patients. The functions of MPTAC are crucial to maintain expression of drebrin 1, which is required for synaptic plasticity, through prevention from oxidative damage. Thus, adjustment of sulfur amino acid catabolism by MPTAC prevents events that occur early in the onset of AD.
    

    
  ","Suganuma T, Swanson SK, Gogol MM, Garrett TJ, Conkright-Fincham J, Florens L, Washburn MP, Workman JL, ",Cell reports,https://www.ncbi.nlm.nih.gov/pubmed/30089268,MPTAC Determines APP Fragmentation via Sensing Sulfur Amino Acid Catabolism,2018,Workman JL,Suganuma T,Workman,Swanson SK,17,Proteomics
18,409,"
    

    
      Proper orientation of the mitotic spindle is essential for cell fate determination, tissue morphogenesis, and homeostasis. During epithelial proliferation, planar spindle alignment ensures the maintenance of polarized tissue architecture, and aberrant spindle orientation can disrupt epithelial integrity. Nevertheless, in vivo mechanisms that restrict the mitotic spindle to the plane of the epithelium remain poorly understood. Here we show that the junction-localized tumor suppressors Scribbled (Scrib) and Discs large (Dlg) control planar spindle orientation via Mud and 14-3-3 proteins in the ","Nakajima YI, Lee ZT, McKinney SA,A, Swanson SK, Florens L, Gibson MC, ",The Journal of cell biology,https://www.ncbi.nlm.nih.gov/pubmed/31088859,Junctional Tumor Suppressors Interact With 14-3-3 Proteins to Control Planar Spindle Alignment,2019,Gibson MC,Nakajima YI,Gibson,Swanson SK,17,Proteomics
19,1,"
    

    
      Molybdenum cofactor (Moco) biosynthesis is linked to c-Jun N-terminal kinase (JNK) signaling in Drosophila through MoaE, a molybdopterin (MPT) synthase subunit that is also a component of the Ada Two A containing (ATAC) acetyltransferase complex. Here, we show that human MPT synthase and ATAC inhibited PKR, a double-stranded RNA-dependent protein kinase, to facilitate translation initiation of iron-responsive mRNA. MPT synthase and ATAC directly interacted with PKR and suppressed latent autophosphorylation of PKR and its downstream phosphorylation of JNK and eukaryotic initiation factor 2α (eIF2α). The suppression of eIF2α phosphorylation via MPT synthase and ATAC prevented sequestration of the guanine nucleotide exchange factor eIF2B, which recycles eIF2-GDP to eIF2-GTP, resulting in the promotion of translation initiation. Indeed, translation of the iron storage protein, ferritin, was reduced in the absence of MPT synthase or ATAC subunits. Thus, MPT synthase and ATAC regulate latent PKR signaling and link transcription and translation initiation. 
    

    
  ","Suganuma T, Swanson SK, Florens L, Washburn MP, Workman JL, ",Journal of molecular cell biology,http://www.ncbi.nlm.nih.gov/pubmed/26705305,Moco Biosynthesis and the ATAC Acetyltransferase Engage Translation Initiation by Inhibiting Latent PKR Activity,2015,Workman JL,Suganuma T,Workman,Florens L,76,Proteomics
20,8,"
    

    
      Sox2 is a key factor in maintaining self-renewal of embryonic stem cells (ESCs) and adult stem cells as well as in reprogramming differentiated cells back into pluripotent or multipotent stem cells. Although previous studies have shown that Sox2 is phosphorylated in human ESCs, the biological significance of Sox2 phosphorylation in ESC maintenance and reprogramming has not been well understood. In this study we have identified new phosphorylation sites on Sox2 and have further demonstrated that Cdk2-mediated Sox2 phosphorylation at Ser-39 and Ser-253 is required for establishing the pluripotent state during reprogramming but is dispensable for ESC maintenance. Mass spectrometry analysis of purified Sox2 protein has identified new phosphorylation sites on two tyrosine and six serine/Threonine residues. Cdk2 physically interacts with Sox2 and phosphorylates Sox2 at Ser-39 and Ser-253 in vitro. Surprisingly, Sox2 phosphorylation at Ser-39 and Ser-253 is dispensable for ESC self-renewal and cell cycle progression. In addition, Sox2 phosphorylation enhances its ability to establish the pluripotent state during reprogramming by working with Oct4 and Klf4. Finally, Cdk2 can also modulate the ability of Oct4, Sox2, and Klf4 in reprogramming fibroblasts back into pluripotent stem cells. Therefore, this study has for the first time demonstrated that Sox2 phosphorylation by Cdk2 promotes the establishment but not the maintenance of the pluripotent state. It might also help explain why the inactivation of CDK inhibitors such as p53, p21, and Arf/Ink4 promotes the induction of pluripotent stem cells. 
    

    
  ","Ouyang J, Yu W, Liu J, Zhang N, Florens L, Chen J, Liu H, Washburn M, Pei D, Xie T, ",The Journal of biological chemistry,http://www.ncbi.nlm.nih.gov/pubmed/26139602,Cyclin-dependent Kinase-Mediated Sox2 Phosphorylation Enhances the Ability of Sox2 to Establish the Pluripotent State,2015,Xie T,Ouyang J,Xie,Florens L,76,Proteomics
21,9,"
    

    
      Memories are thought to be formed in response to transient experiences, in part through changes in local protein synthesis at synapses. In Drosophila, the amyloidogenic (prion-like) state of the RNA binding protein Orb2 has been implicated in long-term memory, but how conformational conversion of Orb2 promotes memory formation is unclear. Combining in vitro and in vivo studies, we find that the monomeric form of Orb2 represses translation and removes mRNA poly(A) tails, while the oligomeric form enhances translation and elongates the poly(A) tails and imparts its translational state to the monomer. The CG13928 protein, which binds only to monomeric Orb2, promotes deadenylation, whereas the putative poly(A) binding protein CG4612 promotes oligomeric Orb2-dependent translation. Our data support a model in which monomeric Orb2 keeps target mRNA in a translationally dormant state and experience-dependent conversion to the amyloidogenic state activates translation, resulting in persistent alteration of synaptic activity and stabilization of memory.
    

    
  ","Khan MR, Li L, Pérez-Sánchez C, Saraf A, Florens L, Slaughter BD, Unruh JR, Si K, ",Cell,http://www.ncbi.nlm.nih.gov/pubmed/26638074,Amyloidogenic Oligomerization Transforms Drosophila Orb2 From a Translation Repressor to an Activator,2015,Si K,Khan MR,Si,Florens L,76,Proteomics
22,48,"
    

    
      Elongin A performs dual functions in cells as a component of RNA polymerase II (Pol II) transcription elongation factor Elongin and as the substrate recognition subunit of a Cullin-RING E3 ubiquitin ligase that has been shown to target Pol II stalled at sites of DNA damage. Here we investigate the mechanism(s) governing conversion of the Elongin complex from its elongation factor to its ubiquitin ligase form. We report the discovery that assembly of the Elongin A ubiquitin ligase is a tightly regulated process. In unstressed cells, Elongin A is predominately present as part of Pol II elongation factor Elongin. Assembly of Elongin A into the ubiquitin ligase is strongly induced by genotoxic stress; by transcriptional stresses that lead to accumulation of stalled Pol II; and by other stimuli, including endoplasmic reticulum and nutrient stress and retinoic acid signaling, that activate Elongin A-dependent transcription. Taken together, our findings shed new light on mechanisms that control the Elongin A ubiquitin ligase and suggest that it may play a role in Elongin A-dependent transcription. 
    

    
  ","Weems JC, Slaughter BD, Unruh JR, Hall SM, McLaird MB, Gilmore JM, Washburn MP, Florens L, Yasukawa T, Aso T, Conaway JW, Conaway RC, ",The Journal of biological chemistry,http://www.ncbi.nlm.nih.gov/pubmed/25878247,Assembly of the Elongin A Ubiquitin Ligase Is Regulated by Genotoxic and Other Stresses,2015,Conaway RC,Weems JC,Conaway,Florens L,76,Proteomics
23,58,"
    

    
      A common approach for exploring the interactome, the network of protein-protein interactions in cells, uses a commercially available ORF library to express affinity tagged bait proteins; these can be expressed in cells and endogenous cellular proteins that copurify with the bait can be identified as putative interacting proteins using mass spectrometry. Control experiments can be used to limit false-positive results, but in many cases, there are still a surprising number of prey proteins that appear to copurify specifically with the bait. Here, we have identified one source of false-positive interactions in such studies. We have found that a combination of: 1) the variable sequence of the C-terminus of the bait with 2) a C-terminal valine ""cloning scar"" present in a commercially available ORF library, can in some cases create a peptide motif that results in the aberrant co-purification of endogenous cellular proteins. Control experiments may not identify false positives resulting from such artificial motifs, as aberrant binding depends on sequences that vary from one bait to another. It is possible that such cryptic protein binding might occur in other systems using affinity tagged proteins; this study highlights the importance of conducting careful follow-up studies where novel protein-protein interactions are suspected. 
    

    
  ","Banks CA, Boanca G, Lee ZT, Florens L, Washburn MP, ",Scientific reports,http://www.ncbi.nlm.nih.gov/pubmed/25704442,Proteins Interacting With Cloning Scars: A Source of False Positive Protein-Protein Interactions,2015,Washburn MP,Banks CA,Washburn,Florens L,76,Proteomics
